nombre,precio,descripcion,categoria,sku,stock
"Twin Stones - Molino Basculante para Chocolates y Pastas","1299.99","La Twin Stones es un refinador basculante de sobremesa para chocolateros y pasteleros, capaz de refinar chocolate y pastas a menos de 20 μm. Su motor soporta hasta 48 h de uso continuo, diseño compacto con piedras de granito de 10 cm. Versátil y fácil de limpiar, permite elaborar chocolates bean-to-bar, pralinés, giandujas y más.","Equipamiento Profesional","30/0053","5"
"Twin Stones V2 - Molino Basculante Mejorado","1499.99","Versión mejorada del molino Twin Stones con piedras extraíbles, tracción con engranaje dentados y fusible térmico rearmable. Mantiene todas las características de refinamiento preciso < 20 micras y versatilidad culinaria.","Equipamiento Profesional","30/0053-V2","3"
"Molino de Chocolate Artesanal","899.99","Molino compacto para chocolateros artesanales. Refinamiento hasta 25 micras, motor de 24h continuas, piedras de granito de 8 cm. Perfecto para elaboración bean-to-bar casera.","Equipamiento Artesanal","CHOC-ART-001","8"
"Refinadora de Pasta Premium","1899.99","Refinadora profesional para pastas, cremas y giandujas. Capacidad de refinamiento < 15 micras, motor industrial 72h continuas, piedras de granito de 12 cm. Certificación CE.","Equipamiento Profesional","REF-PREMIUM-001","2"
"Molino de Mostaza Industrial","799.99","Molino especializado para mostazas y condimentos. Refinamiento fino, fácil limpieza, motor robusto. Ideal para restaurantes y productores artesanales.","Equipamiento Industrial","MOST-INDUST-001","6"
"Conchadora Bean-to-Bar","2199.99","Conchadora profesional para elaboración completa de chocolate desde el grano. Refinamiento < 10 micras, sistema de temperatura controlada, piedras de granito de 15 cm.","Equipamiento Profesional","CONCH-BTB-001","1"
"Molino de Manteca de Cacao","1599.99","Molino especializado para manteca de cacao y mantequillas. Refinamiento ultra fino < 5 micras, sistema de refrigeración, piedras de granito de 11 cm.","Equipamiento Especializado","MANT-CACAO-001","4"
"Refinadora de Pralinés","1299.99","Refinadora específica para pralinés y cremas de frutos secos. Refinamiento medio 30 micras, fácil limpieza, motor silencioso. Perfecta para pastelería artesanal.","Equipamiento Pastelería","PRALIN-001","7"
"Molino de Gianduja","1699.99","Molino especializado para gianduja y cremas de avellana. Refinamiento fino < 20 micras, sistema de temperatura controlada, piedras de granito de 10 cm.","Equipamiento Especializado","GIANDUJA-001","3"
"Conchadora Compacta","999.99","Conchadora compacta para espacios reducidos. Refinamiento < 25 micras, motor 36h continuas, piedras de granito de 8 cm. Ideal para chocolateros artesanales.","Equipamiento Compacto","CONCH-COMP-001","9"
